15 8
0 7 3
14 7 0
0 0 2
14 0 1
2 0 2
0 2 3
10 0 2
12 0 2
14 1 1
14 6 1
8 7 0
6 7 0
8 0 2
0 6 3
4 0 2
5 0 2
10 7 0
0 1 3
11 7 0
7 0 2
12 7 0
9 0 2
4 7 0
1 0 2
0 5 3
0 4 3
9 7 0
2 7 0
3 0 2
1 7 0
7 7 0
13 7 0
14 3 1
14 5 1
0 3 3
6 0 2
3 7 0
11 0 2
5 7 0
14 4 1
13 0 2
14 2 1
3 1 3
12 4 2
5 1 1
9 5 1
3 2 2
2 1 1
11 6 1
1 2 2
3 3 3
10 5 3
9 4 2
8 4 0
6 5 0
3 5 0
1 6 3
6 6 2
1 1 0
2 3 1
11 3 3
6 1 3
3 6 2
10 3 1
9 3 0
12 3 0
12 6 3
12 5 2
8 5 2
13 5 1
4 1 2
10 4 2
1 5 3
11 5 3
9 6 2
5 6 3
1 4 3
2 5 1
5 2 2
4 3 2
4 2 0
4 6 1
11 4 1
1 3 3
2 2 1
5 5 2
7 2 3
4 4 0
7 4 1
2 6 2
10 6 1
4 5 2
6 2 1
5 4 0
8 3 1
7 1 3
6 3 0
9 2 0
8 6 2
13 1 0
2 4 1
10 2 1
6 4 2
7 6 2
11 2 3
13 2 2
3 4 3
8 2 3
7 5 0
7 3 2
10 1 2
12 1 1
5 3 2
8 1 3
9 1 1
11 1 2
12 2 3
13 4 1
13 6 3
13 3 2
