20 14
19 13 0
19 0 1
0 13 3
0 0 2
16 0 2
6 0 2
0 12 3
18 0 2
5 0 2
19 2 1
3 0 2
16 13 0
19 5 1
0 7 3
10 0 2
17 13 0
15 13 0
2 13 0
19 1 1
12 0 2
7 0 2
19 3 1
15 0 2
0 9 3
11 13 0
18 13 0
14 0 2
6 13 0
19 8 1
10 13 0
12 13 0
14 13 0
0 6 3
0 4 3
0 3 3
0 10 3
9 0 2
0 8 3
8 13 0
0 11 3
19 6 1
17 0 2
1 13 0
0 5 3
13 13 0
5 13 0
19 4 1
13 0 2
0 1 3
4 0 2
19 10 1
7 13 0
1 0 2
11 0 2
3 13 0
8 0 2
9 13 0
19 7 1
19 9 1
19 11 1
19 12 1
4 13 0
0 2 3
2 0 2
7 6 1
17 7 2
15 8 1
17 3 0
8 4 0
14 11 3
8 9 1
2 1 0
2 2 2
8 6 3
17 6 0
8 2 2
3 12 0
13 7 2
7 10 3
7 5 0
8 5 2
10 5 2
17 1 2
13 11 1
3 5 1
9 9 3
4 5 3
2 12 0
13 8 3
16 11 3
10 4 0
6 10 1
12 4 1
8 1 2
18 12 3
17 4 2
7 4 3
13 6 0
6 4 1
15 11 1
6 3 2
12 8 1
5 2 0
6 2 0
13 4 3
5 3 2
17 12 1
8 10 0
16 8 3
8 11 2
11 8 3
10 3 2
10 8 1
17 11 1
10 2 0
3 11 0
10 6 1
6 1 1
18 6 2
18 3 3
1 12 0
15 1 1
15 9 0
4 12 2
15 3 0
9 12 0
4 11 0
2 3 1
12 9 0
15 10 2
16 7 1
9 3 1
7 1 3
3 3 3
11 6 3
6 8 3
12 10 2
11 9 2
15 4 2
14 4 0
18 5 0
10 12 0
12 11 2
16 3 1
16 1 3
18 11 3
5 8 1
15 7 0
14 5 2
9 6 3
18 1 0
18 9 3
2 5 1
18 7 1
11 2 3
14 9 0
5 10 1
5 6 3
1 7 1
4 6 1
14 10 2
12 12 0
17 10 0
13 12 2
9 5 3
6 9 1
4 10 1
10 7 0
14 12 0
9 2 1
5 5 2
17 9 1
18 2 2
5 12 2
2 7 3
7 9 3
5 11 0
12 1 2
5 4 0
9 4 3
15 6 1
7 12 2
6 7 2
12 7 2
14 2 0
6 12 1
11 11 2
17 8 2
5 7 1
16 6 3
2 9 0
8 3 0
11 4 2
15 5 0
18 10 2
11 10 0
2 4 0
13 10 2
2 10 2
8 8 0
13 9 0
6 6 0
3 1 3
16 10 1
18 4 3
14 3 2
11 3 0
12 6 0
7 11 0
15 12 1
1 8 1
7 8 0
6 11 0
8 7 1
9 11 3
1 6 2
1 2 1
2 8 3
16 12 1
4 1 3
11 7 1
17 5 1
4 4 2
17 2 2
1 5 0
13 3 0
14 1 1
9 8 1
9 7 3
15 2 3
4 3 0
1 4 1
10 9 3
9 10 1
7 7 0
7 2 1
3 8 2
12 3 1
3 7 0
13 1 3
14 6 0
11 12 2
5 9 0
3 10 0
2 11 2
14 7 2
11 1 0
14 8 1
10 10 3
3 9 0
1 1 0
13 2 0
16 5 2
16 4 0
16 9 3
10 11 1
11 5 0
5 1 1
3 6 1
1 9 3
4 9 1
12 5 2
6 5 1
7 3 1
3 4 0
4 8 1
1 10 0
18 8 2
3 2 3
2 6 3
12 2 1
1 11 2
4 2 2
8 12 3
1 3 3
4 7 3
9 1 2
10 1 1
16 2 3
13 5 2
