20 17
0 0 2
0 16 3
19 0 1
19 16 0
0 1 3
0 2 3
19 12 1
13 0 2
0 4 3
12 16 0
4 16 0
0 7 3
18 16 0
11 0 2
5 16 0
8 16 0
7 16 0
15 16 0
0 10 3
3 0 2
0 5 3
16 16 0
19 14 1
16 0 2
0 9 3
2 0 2
7 0 2
3 16 0
0 6 3
14 0 2
14 16 0
10 0 2
10 16 0
1 16 0
19 6 1
13 16 0
15 0 2
17 16 0
0 14 3
12 0 2
19 11 1
0 12 3
19 8 1
1 0 2
9 0 2
0 3 3
9 16 0
17 0 2
19 1 1
19 13 1
18 0 2
19 15 1
8 0 2
19 2 1
19 9 1
6 0 2
5 0 2
0 15 3
2 16 0
0 13 3
19 5 1
19 10 1
6 16 0
11 16 0
19 3 1
19 7 1
0 8 3
4 0 2
0 11 3
19 4 1
18 15 2
17 15 1
7 13 2
2 15 3
2 12 0
15 8 2
9 6 3
9 7 0
8 11 2
2 13 2
12 8 0
8 10 0
3 11 1
12 9 2
1 1 3
12 12 2
11 2 0
8 9 3
5 1 2
6 9 0
5 6 2
4 6 0
13 5 1
7 12 0
4 8 2
18 14 0
3 12 0
18 3 3
16 14 3
9 1 3
8 5 3
14 5 3
8 6 1
16 7 2
9 8 2
5 5 0
15 7 0
16 6 0
8 1 1
4 11 3
12 4 0
13 2 2
4 7 2
13 1 0
7 9 1
12 11 0
17 3 1
3 13 2
15 14 1
11 3 2
1 15 1
7 5 1
6 10 2
12 5 2
17 14 3
16 12 3
17 1 3
3 10 2
1 13 2
17 9 0
11 1 0
4 5 1
8 4 3
5 11 2
4 4 3
1 8 0
12 6 1
15 12 1
3 9 0
17 7 2
1 12 0
11 5 3
13 6 3
3 8 0
5 2 1
17 10 2
7 4 1
6 13 1
16 15 1
16 1 1
1 7 1
17 6 0
5 9 1
6 5 1
2 7 3
8 3 1
3 4 1
9 3 3
10 11 1
6 2 3
1 9 2
11 11 3
5 10 0
3 14 2
7 1 1
10 5 1
10 12 0
7 15 0
7 10 3
6 8 1
14 8 0
8 7 3
6 3 3
6 4 1
3 6 0
10 15 2
5 3 1
3 5 2
6 6 1
9 13 3
14 7 1
15 9 1
7 7 1
7 6 3
16 13 2
7 11 2
11 12 3
18 10 3
17 13 2
10 14 0
6 14 1
12 14 3
11 14 1
17 2 2
5 12 3
4 12 1
17 11 2
17 12 0
14 9 2
7 8 3
7 14 3
10 13 2
8 13 1
16 9 3
3 7 2
8 15 3
12 1 3
13 14 1
10 1 1
14 1 0
1 3 3
6 7 0
18 5 0
11 9 0
7 3 2
9 9 3
4 1 0
1 2 3
14 14 3
15 15 0
10 2 3
6 1 3
10 8 3
9 2 1
2 10 1
18 6 2
7 2 0
15 2 0
16 11 0
4 2 2
3 2 3
18 9 3
17 5 0
14 2 2
14 15 0
15 3 2
11 10 2
2 2 1
13 13 2
2 4 0
2 14 2
8 2 1
12 2 2
4 13 3
2 11 1
10 7 3
15 11 1
13 12 0
15 1 3
8 8 2
14 10 0
14 11 2
5 13 1
2 5 2
12 13 1
6 11 2
11 15 2
9 15 0
1 4 2
11 4 0
10 6 0
17 8 1
18 11 3
14 13 2
14 12 2
9 5 3
16 8 2
11 13 3
18 7 3
13 4 2
18 2 0
13 8 3
13 3 0
18 8 3
9 10 3
2 8 3
14 4 0
4 9 2
12 10 2
13 10 0
1 10 3
11 8 3
13 15 3
5 14 1
2 6 1
5 4 2
18 12 1
3 15 1
4 15 3
4 14 3
2 3 1
12 7 0
12 15 1
9 12 2
3 3 3
13 11 2
9 11 0
1 14 1
11 6 2
12 3 3
15 4 1
8 14 2
9 14 2
11 7 0
16 4 3
1 5 2
4 10 2
14 6 0
9 4 3
3 1 2
5 7 2
10 3 3
1 11 2
16 3 0
10 9 0
6 12 3
13 7 2
18 1 1
10 10 2
17 4 2
10 4 1
8 12 3
6 15 3
18 4 2
15 13 1
15 5 2
5 15 1
1 6 2
16 10 1
4 3 1
5 8 3
15 10 1
16 2 2
14 3 0
15 6 3
2 9 0
18 13 1
13 9 2
2 1 1
16 5 0
