20 9
19 8 0
0 8 3
0 0 2
19 0 1
0 5 3
19 3 1
19 7 1
0 4 3
15 8 0
9 0 2
19 6 1
16 8 0
1 0 2
18 8 0
6 0 2
0 6 3
0 2 3
14 0 2
5 0 2
15 0 2
17 8 0
13 0 2
2 8 0
0 3 3
7 8 0
6 8 0
12 8 0
12 0 2
11 0 2
13 8 0
1 8 0
2 0 2
5 8 0
14 8 0
18 0 2
10 0 2
8 8 0
19 1 1
16 0 2
8 0 2
10 8 0
19 5 1
4 0 2
3 0 2
0 7 3
17 0 2
4 8 0
3 8 0
9 8 0
19 4 1
11 8 0
0 1 3
19 2 1
7 0 2
18 7 0
5 1 3
4 6 0
11 1 3
13 2 3
11 3 2
1 5 3
13 7 2
8 6 3
14 7 2
18 4 0
17 3 0
10 1 1
4 7 0
9 5 0
17 1 2
18 5 2
18 3 1
14 1 1
17 4 2
14 6 0
12 2 1
7 6 1
1 7 3
6 4 1
13 6 0
7 4 3
11 2 0
9 6 2
2 2 3
15 1 3
4 1 1
1 2 1
6 2 2
5 2 1
10 2 0
6 7 2
17 7 1
6 3 2
8 3 1
17 5 3
10 3 2
5 6 3
16 5 3
3 1 3
17 2 0
2 1 1
6 1 0
14 2 3
9 3 3
6 6 0
15 5 1
4 2 1
16 2 3
13 3 2
4 5 2
16 3 2
3 6 3
2 4 2
5 3 0
7 3 3
15 2 3
15 7 2
7 7 0
1 3 3
2 3 0
4 4 0
3 7 0
5 4 2
10 4 2
9 4 0
15 6 0
7 1 1
9 7 2
2 6 1
8 1 3
12 3 1
3 3 0
8 5 1
1 6 2
17 6 0
4 3 0
5 7 1
3 2 1
8 7 2
12 5 1
16 4 2
12 7 1
2 7 1
13 1 1
13 5 3
1 4 3
3 5 1
3 4 2
18 1 2
11 7 3
15 3 1
10 7 1
6 5 2
11 6 1
12 6 3
13 4 0
11 4 2
8 4 0
16 7 1
5 5 2
14 3 3
18 2 2
9 1 1
8 2 0
7 5 1
18 6 0
2 5 1
9 2 1
12 1 2
16 1 0
10 5 3
12 4 3
7 2 2
14 5 1
16 6 0
10 6 2
11 5 3
1 1 3
14 4 1
15 4 1
