16 6
0 0 2
15 0 1
0 5 3
15 5 0
11 5 0
9 0 2
10 0 2
1 0 2
7 0 2
1 5 0
5 5 0
13 5 0
7 5 0
2 0 2
15 3 1
0 1 3
6 0 2
15 1 1
8 5 0
14 5 0
11 0 2
4 5 0
2 5 0
15 2 1
3 0 2
6 5 0
5 0 2
4 0 2
10 5 0
0 3 3
8 0 2
12 0 2
0 4 3
14 0 2
15 4 1
0 2 3
3 5 0
13 0 2
9 5 0
12 5 0
9 3 2
11 4 0
6 2 1
12 4 1
8 4 1
4 4 0
3 3 1
14 2 0
13 4 1
6 1 0
8 3 1
7 4 0
8 1 2
14 3 2
9 2 0
14 4 3
9 4 3
4 3 3
2 2 3
1 2 1
7 2 3
11 3 1
12 3 3
2 3 0
9 1 2
2 4 2
1 1 1
3 1 1
3 4 2
6 3 3
10 3 0
11 2 0
10 4 2
4 1 3
5 4 3
5 3 1
2 1 3
12 2 1
10 1 2
13 2 3
12 1 1
13 1 3
3 2 0
1 3 1
14 1 3
7 3 3
1 4 1
7 1 2
8 2 0
11 1 0
5 1 3
10 2 0
13 3 0
6 4 2
4 2 3
5 2 2
