20 20
19 19 0
19 0 1
0 0 2
0 19 3
19 17 1
19 16 1
19 18 1
0 6 3
17 19 0
15 19 0
19 5 1
0 11 3
14 0 2
18 19 0
2 0 2
0 7 3
19 9 1
0 4 3
3 0 2
19 1 1
12 19 0
0 1 3
19 11 1
0 15 3
10 0 2
16 0 2
0 12 3
3 19 0
6 0 2
17 0 2
10 19 0
19 12 1
19 14 1
4 19 0
19 10 1
12 0 2
4 0 2
11 19 0
19 4 1
0 5 3
7 0 2
0 16 3
8 19 0
1 0 2
9 19 0
8 0 2
19 7 1
0 17 3
0 18 3
19 15 1
0 14 3
19 2 1
19 8 1
5 19 0
14 19 0
19 6 1
6 19 0
19 13 1
1 19 0
0 13 3
16 19 0
0 8 3
13 0 2
11 0 2
19 3 1
2 19 0
9 0 2
13 19 0
18 0 2
0 10 3
15 0 2
0 3 3
7 19 0
0 2 3
0 9 3
5 0 2
6 2 0
12 2 2
13 7 0
18 17 0
18 8 1
14 4 2
5 7 0
12 1 0
14 3 0
3 17 2
4 10 2
13 8 2
8 12 2
7 2 3
16 17 2
9 5 1
1 4 3
6 14 0
8 11 0
8 2 2
16 16 0
3 5 3
15 12 2
3 16 0
5 12 0
7 1 2
15 11 0
13 15 2
6 3 2
4 9 0
15 5 0
3 18 2
6 15 2
15 14 2
11 10 2
18 3 1
2 11 2
8 1 0
2 5 1
15 13 0
13 14 0
15 6 2
5 8 2
5 11 1
2 3 3
10 5 3
11 9 0
6 1 2
1 3 1
5 13 2
11 2 1
14 5 2
2 10 0
18 18 2
6 11 3
6 4 2
1 2 1
4 17 1
5 17 3
14 6 2
14 10 2
7 6 1
11 4 2
11 3 0
16 9 3
12 9 1
8 6 3
17 18 3
16 14 1
16 18 1
5 4 1
9 14 1
4 2 2
15 1 3
6 5 2
12 3 1
4 11 2
18 7 0
12 15 3
11 5 3
10 14 3
9 11 1
17 1 2
9 12 3
10 11 3
4 7 0
2 2 3
14 9 0
14 1 1
14 7 3
4 12 3
15 9 1
4 1 0
11 15 1
4 8 2
4 4 2
4 3 0
13 13 1
13 9 3
3 12 1
10 4 2
10 3 0
13 3 3
11 1 1
17 14 3
14 13 3
13 1 3
6 13 1
10 12 0
8 3 0
15 3 3
10 6 3
7 14 1
16 5 1
7 13 3
5 5 2
1 14 1
14 15 2
3 1 0
9 17 2
5 6 0
15 16 2
8 17 2
7 15 1
5 15 0
3 2 0
13 2 2
2 12 0
10 13 2
14 14 0
10 16 2
9 16 0
2 14 3
1 1 0
3 9 3
5 16 2
8 4 2
15 15 0
8 15 3
3 7 0
2 9 1
6 7 3
8 16 0
10 15 0
9 6 1
17 5 3
2 13 2
5 18 0
6 10 0
3 3 2
3 8 2
13 4 1
8 14 3
15 17 1
11 12 2
16 12 0
11 11 0
14 17 3
6 12 0
3 6 1
14 18 0
2 17 1
17 16 2
3 13 0
9 10 1
12 10 2
12 5 2
17 10 2
10 8 3
4 6 3
7 9 1
8 9 3
12 11 1
17 12 3
17 15 0
3 14 2
17 9 0
10 10 3
12 8 1
3 10 1
16 13 2
13 17 1
12 4 0
7 3 2
13 11 3
9 8 1
13 6 2
2 6 1
9 4 0
13 5 0
7 12 1
1 5 2
16 3 0
8 8 1
12 18 3
15 4 2
18 12 2
2 15 3
16 4 2
1 15 1
9 1 1
10 17 2
11 18 1
10 7 2
12 12 1
10 1 3
4 16 0
15 18 1
18 11 0
8 13 2
10 18 0
17 7 1
15 10 2
8 7 0
13 12 3
17 3 3
9 3 3
7 10 2
15 8 1
7 5 0
16 2 2
14 12 1
2 16 0
1 16 3
18 16 1
15 7 0
15 2 1
18 6 1
7 7 1
18 1 1
8 5 3
2 7 0
16 1 0
7 4 2
9 2 1
16 6 3
17 13 3
6 9 0
12 13 2
14 11 0
13 10 1
2 8 2
10 2 3
16 8 3
5 2 3
16 10 2
6 6 2
11 6 0
9 13 3
2 18 0
17 2 2
6 18 1
11 7 2
11 8 0
12 17 1
12 14 0
4 5 1
7 18 3
17 6 3
16 7 0
5 3 2
17 17 0
8 18 0
1 13 0
5 14 3
8 10 3
12 6 3
17 11 0
1 6 3
9 15 3
11 17 1
7 16 3
4 13 3
4 14 1
18 4 3
18 10 0
18 14 1
3 15 2
17 4 1
2 1 0
16 15 0
6 16 1
16 11 2
9 9 0
1 17 0
1 18 2
7 17 1
10 9 3
3 4 2
4 15 1
3 11 3
14 16 1
1 10 1
1 9 0
14 8 1
18 5 1
18 13 2
9 18 0
5 9 3
17 8 0
12 16 3
18 15 0
11 16 1
1 8 0
12 7 2
7 11 3
7 8 0
6 17 3
4 18 0
9 7 2
13 18 0
14 2 3
1 7 2
18 2 0
18 9 2
11 13 2
5 10 1
2 4 0
1 11 1
5 1 0
1 12 1
13 16 0
11 14 2
6 8 2
