19 19
18 0 1
18 18 0
0 0 2
0 18 3
0 9 3
14 18 0
18 7 1
0 14 3
18 2 1
4 0 2
15 0 2
14 0 2
8 0 2
10 0 2
0 13 3
2 18 0
12 0 2
0 5 3
0 16 3
1 0 2
3 18 0
7 18 0
18 9 1
6 0 2
18 6 1
3 0 2
0 10 3
0 12 3
0 11 3
0 8 3
5 0 2
18 11 1
10 18 0
11 18 0
16 0 2
2 0 2
12 18 0
18 10 1
18 1 1
4 18 0
13 18 0
18 14 1
0 15 3
18 4 1
18 5 1
0 4 3
18 12 1
18 8 1
15 18 0
18 17 1
0 3 3
18 16 1
9 0 2
1 18 0
8 18 0
11 0 2
18 13 1
0 1 3
0 7 3
9 18 0
5 18 0
0 6 3
0 2 3
0 17 3
17 0 2
17 18 0
18 3 1
6 18 0
18 15 1
13 0 2
7 0 2
16 18 0
15 17 2
9 6 0
10 17 0
16 10 3
11 17 3
11 13 2
7 8 3
7 10 0
12 15 3
2 11 2
14 17 1
9 17 0
7 13 2
17 14 3
11 12 0
6 10 0
2 5 2
16 14 1
2 6 1
1 9 3
5 2 1
6 11 2
6 2 3
10 6 3
1 14 0
12 9 1
14 15 3
13 9 3
15 10 1
3 3 2
4 12 2
6 8 1
7 11 2
15 16 0
7 12 0
1 15 2
2 7 0
4 11 0
2 10 0
9 7 2
3 2 0
7 14 3
8 2 3
8 4 1
6 14 1
5 4 3
3 6 3
13 15 1
4 4 1
2 4 0
2 8 2
7 2 1
11 15 1
9 4 3
7 16 1
12 12 1
4 1 0
17 17 2
6 17 2
6 12 0
5 17 0
7 3 2
9 11 0
10 8 0
4 6 1
14 14 1
17 16 0
6 13 2
16 11 2
13 12 3
9 2 3
6 7 3
5 7 1
5 6 3
17 10 3
7 15 0
16 1 2
16 3 3
14 11 0
4 2 2
11 6 3
2 2 1
9 12 2
10 9 2
10 13 1
7 7 3
1 8 0
15 14 3
15 3 1
14 12 2
8 16 3
13 3 1
1 1 2
8 17 1
6 16 0
14 3 3
10 15 2
5 16 2
9 8 1
7 9 2
12 16 2
4 16 1
8 1 0
5 1 3
11 3 1
2 9 0
6 3 1
11 8 0
12 8 2
7 17 3
15 7 0
14 7 2
14 9 3
15 8 2
6 6 2
12 7 0
6 5 0
12 11 0
11 9 2
12 1 0
12 2 2
3 17 0
8 10 3
5 15 0
10 14 0
17 7 1
14 2 1
14 6 0
15 2 3
16 17 1
1 4 3
12 3 3
9 16 3
9 15 1
9 13 2
4 5 3
16 4 0
1 11 1
1 2 1
1 7 0
4 9 0
1 6 3
8 13 1
14 8 0
3 14 3
2 14 1
8 12 2
2 3 2
16 5 2
14 16 0
8 11 0
15 4 0
8 7 3
16 16 1
4 10 2
10 5 0
10 11 1
11 11 3
15 5 2
3 5 1
11 14 1
12 13 2
12 14 3
17 12 1
11 16 0
6 9 0
9 9 2
4 8 1
13 16 2
3 1 0
3 15 3
10 3 0
17 3 2
4 7 0
17 15 2
10 16 2
9 5 3
17 2 0
17 8 1
17 5 2
6 15 1
15 1 0
17 4 0
6 1 0
10 4 2
8 5 1
2 15 1
13 8 3
9 14 2
2 17 3
8 9 1
1 17 1
4 15 0
5 8 3
9 1 3
2 1 2
13 7 2
10 2 0
4 14 3
14 4 3
14 1 1
2 16 0
3 11 3
7 6 2
1 10 0
12 17 0
16 13 0
12 6 0
13 6 0
13 14 1
3 16 0
13 4 1
1 5 1
7 5 0
9 10 3
5 9 3
16 2 0
2 12 2
5 12 0
2 13 2
5 11 1
3 9 3
11 2 0
16 15 3
5 13 2
10 10 3
1 3 3
15 15 1
14 13 0
17 11 3
13 5 0
14 10 2
12 10 0
11 7 0
17 1 1
1 12 0
16 9 0
16 7 3
1 13 2
10 7 2
13 13 2
13 1 1
13 2 3
15 11 1
14 5 3
13 17 0
5 10 2
8 6 0
4 13 2
15 13 0
11 10 2
7 1 1
4 17 0
5 5 3
13 11 0
15 12 0
13 10 2
16 6 0
5 14 1
11 5 2
17 9 1
11 4 0
15 9 0
9 3 2
16 12 3
8 8 3
3 12 0
12 5 3
3 8 2
3 13 2
17 6 3
16 8 1
3 7 0
15 6 1
8 14 2
7 4 3
17 13 2
3 10 2
8 3 3
6 4 1
3 4 1
5 3 0
10 1 3
11 1 0
8 15 3
10 12 3
4 3 3
12 4 1
1 16 1
