20 18
19 17 0
0 17 3
0 0 2
19 0 1
11 17 0
19 6 1
19 15 1
0 8 3
14 0 2
18 17 0
19 8 1
19 13 1
3 17 0
0 9 3
0 2 3
12 17 0
19 1 1
0 7 3
19 16 1
4 17 0
19 5 1
2 17 0
19 2 1
7 0 2
3 0 2
17 0 2
6 0 2
0 16 3
15 17 0
4 0 2
9 17 0
6 17 0
13 0 2
15 0 2
0 5 3
9 0 2
0 10 3
19 9 1
10 17 0
0 12 3
19 3 1
19 4 1
11 0 2
1 0 2
14 17 0
10 0 2
19 11 1
12 0 2
8 17 0
0 14 3
18 0 2
17 17 0
0 1 3
0 6 3
2 0 2
0 15 3
19 14 1
5 0 2
19 10 1
0 13 3
0 11 3
8 0 2
13 17 0
16 17 0
16 0 2
0 4 3
5 17 0
19 7 1
0 3 3
19 12 1
7 17 0
1 17 0
11 12 1
2 7 3
18 15 3
6 7 3
11 4 0
17 15 1
18 6 1
8 14 2
1 5 0
7 6 0
9 5 1
12 7 0
4 11 3
13 9 2
10 11 0
4 3 2
6 16 0
7 7 2
10 12 2
15 1 1
16 1 3
14 2 2
3 11 1
15 3 0
13 4 1
17 6 1
1 6 2
4 2 0
4 13 0
18 1 3
6 3 1
11 5 2
13 15 1
2 10 3
14 4 3
8 13 0
17 1 1
1 10 1
12 12 3
14 15 3
9 7 0
14 1 0
12 8 2
1 7 1
9 8 2
18 11 1
5 7 1
13 8 0
10 5 3
10 1 2
7 3 3
15 4 2
4 14 2
11 16 0
15 6 3
13 6 2
12 6 0
14 8 1
11 11 0
16 4 1
13 1 2
15 16 2
2 8 2
13 11 2
14 7 0
15 7 2
13 10 0
14 10 2
10 7 1
2 1 3
11 2 0
16 2 1
12 14 3
15 8 3
15 12 1
15 11 3
5 8 3
17 4 3
13 3 3
12 3 1
6 11 2
17 9 0
11 3 2
17 8 1
11 7 3
18 8 3
16 12 3
10 13 3
13 5 0
6 10 0
17 10 2
14 6 1
17 2 3
15 15 0
1 1 1
8 5 1
10 16 1
14 9 0
4 8 1
9 13 1
11 14 1
14 11 1
17 14 0
9 9 2
12 1 1
6 8 2
12 11 3
3 3 2
3 14 3
1 11 1
2 11 3
1 3 0
7 16 2
1 13 3
16 3 2
18 16 2
12 4 3
4 15 1
4 12 3
7 15 0
11 6 1
1 4 2
18 2 0
11 10 0
14 5 1
15 5 3
3 8 3
3 12 1
6 6 2
16 10 0
5 15 3
1 8 1
14 16 1
16 11 2
8 9 1
18 14 3
6 5 0
2 14 1
18 3 2
3 2 0
17 11 2
7 12 0
10 9 1
8 1 1
13 12 0
10 10 3
8 16 2
18 5 0
15 2 1
13 13 2
10 4 0
12 15 0
2 5 3
8 6 3
14 3 0
5 1 3
9 10 1
2 16 2
9 1 3
11 9 3
2 15 0
4 1 1
8 10 0
8 11 2
6 15 0
7 13 2
8 15 0
7 14 1
12 16 2
5 10 3
3 4 1
9 4 0
13 16 1
12 13 3
10 6 0
13 7 3
17 12 3
8 12 3
9 16 1
5 5 1
4 10 1
2 2 2
16 8 0
12 9 1
16 9 2
9 2 1
10 8 0
10 2 3
1 14 3
3 15 2
16 6 1
1 12 0
9 12 3
2 13 3
11 13 1
4 16 0
4 4 3
2 3 1
5 4 1
9 11 1
5 3 3
5 9 0
12 2 3
6 4 3
7 8 2
5 13 2
5 11 2
5 12 0
13 14 3
11 1 1
9 6 2
1 9 1
3 9 0
3 10 2
2 9 3
11 8 0
2 12 2
15 13 2
15 14 2
11 15 1
14 12 3
6 2 1
7 11 3
7 9 3
7 2 3
7 4 0
12 10 0
14 14 1
3 5 0
3 6 0
3 7 2
8 2 1
5 6 2
6 9 1
6 13 0
6 14 2
7 5 2
18 13 1
3 16 3
18 4 2
12 5 1
18 9 0
4 7 1
13 2 1
10 3 3
9 3 1
18 12 0
15 9 2
18 10 2
17 16 0
17 5 2
3 1 1
5 2 1
7 1 0
5 14 2
17 13 2
16 16 0
14 13 2
2 6 3
4 9 1
7 10 0
15 10 3
16 5 2
16 14 2
9 14 1
16 13 0
6 1 0
3 13 3
10 14 3
17 7 0
2 4 1
9 15 0
8 3 1
16 15 1
6 12 3
4 6 0
8 4 3
1 15 3
4 5 0
1 16 2
1 2 1
17 3 3
8 7 0
5 16 0
8 8 2
16 7 1
18 7 1
10 15 2
