14 6
0 5 3
13 0 1
0 0 2
13 5 0
7 5 0
6 0 2
9 0 2
0 1 3
0 2 3
1 5 0
1 0 2
11 5 0
6 5 0
13 3 1
5 0 2
10 0 2
13 2 1
11 0 2
10 5 0
3 5 0
13 1 1
8 5 0
0 3 3
4 5 0
12 0 2
7 0 2
2 5 0
9 5 0
3 0 2
0 4 3
4 0 2
12 5 0
13 4 1
8 0 2
5 5 0
2 0 2
12 3 1
8 1 3
8 4 0
5 4 1
8 2 2
4 2 1
7 1 1
12 2 0
4 1 1
5 2 3
3 2 3
12 4 3
1 4 3
5 1 3
11 4 1
2 4 3
2 2 1
6 4 3
9 3 1
10 3 3
7 2 2
12 1 2
10 2 1
6 1 2
4 4 0
7 4 0
11 2 3
11 1 1
5 3 0
4 3 0
3 4 2
9 4 3
3 3 0
1 3 3
6 2 1
10 1 0
2 3 3
1 2 2
7 3 0
1 1 0
10 4 1
8 3 0
9 1 2
11 3 1
6 3 0
3 1 0
2 1 1
9 2 1
