16 15
0 14 3
0 0 2
15 0 1
15 14 0
0 11 3
0 4 3
15 1 1
0 3 3
5 14 0
0 7 3
10 14 0
8 0 2
6 14 0
0 12 3
15 8 1
15 2 1
4 14 0
13 0 2
13 14 0
3 14 0
6 0 2
7 14 0
15 3 1
1 0 2
15 10 1
12 0 2
9 14 0
0 6 3
0 2 3
15 12 1
5 0 2
15 13 1
0 10 3
15 6 1
14 0 2
15 4 1
10 0 2
0 13 3
7 0 2
11 0 2
0 9 3
1 14 0
8 14 0
11 14 0
14 14 0
3 0 2
15 7 1
9 0 2
0 5 3
15 11 1
15 9 1
12 14 0
0 1 3
2 0 2
4 0 2
2 14 0
15 5 1
0 8 3
6 1 0
2 5 1
14 8 2
5 10 3
11 11 2
13 2 2
4 1 0
10 7 0
6 2 2
10 5 3
10 8 2
1 6 0
9 13 1
1 13 1
14 11 1
2 9 3
9 5 1
13 5 1
5 3 3
1 7 2
13 1 0
2 3 2
10 13 3
1 9 1
4 10 1
5 4 0
7 1 3
3 5 3
14 13 3
9 1 0
2 4 0
2 13 3
14 7 0
2 2 0
6 3 2
4 3 1
14 5 3
9 2 2
4 2 2
13 13 1
5 5 2
11 10 0
11 8 2
6 7 2
11 1 1
14 9 0
5 9 2
13 3 2
13 8 1
4 13 0
12 1 3
12 4 3
4 7 3
8 1 1
5 8 0
1 11 3
9 6 2
6 6 0
5 7 1
14 6 0
12 13 1
5 11 2
11 12 2
4 5 3
14 10 2
1 8 2
2 7 3
3 7 1
11 4 1
11 7 0
11 9 1
8 8 1
6 12 2
6 4 1
2 8 0
3 8 0
8 7 0
9 7 2
13 11 1
12 2 1
6 11 0
8 3 0
10 11 1
3 1 1
2 1 0
7 4 3
10 12 0
10 9 3
9 8 3
3 9 2
9 9 1
5 1 3
8 4 2
12 9 3
7 13 2
4 12 3
3 12 1
1 4 3
8 11 0
3 4 0
3 3 0
4 8 1
11 13 3
7 2 1
7 12 0
8 12 2
12 3 1
4 9 1
2 6 0
5 6 2
5 12 1
1 2 3
8 5 2
5 2 1
13 7 0
8 10 0
8 2 3
6 13 1
7 10 2
10 6 1
3 11 3
2 11 1
1 12 0
3 10 1
1 3 3
14 1 1
9 12 0
11 6 3
1 1 3
6 10 1
1 5 2
4 11 2
12 11 3
7 9 0
3 13 0
5 13 3
14 12 1
6 8 2
2 10 2
11 5 1
6 5 0
12 5 3
3 2 2
6 9 3
7 11 0
12 8 0
11 3 1
9 4 0
1 10 2
3 6 1
10 4 3
7 3 0
10 3 3
2 12 3
11 2 0
4 6 3
13 10 0
9 11 3
13 4 0
9 3 1
7 7 3
4 4 2
12 6 3
8 13 0
10 2 3
9 10 2
7 6 1
8 6 3
13 9 0
14 3 0
13 12 2
14 4 0
7 8 3
8 9 1
7 5 0
12 10 0
12 12 3
10 1 1
12 7 2
10 10 0
13 6 2
14 2 0
