17 12
0 0 2
16 11 0
16 0 1
0 11 3
0 5 3
0 7 3
0 1 3
15 0 2
1 11 0
2 0 2
7 11 0
16 7 1
15 11 0
14 11 0
5 11 0
8 0 2
16 2 1
11 0 2
16 8 1
16 3 1
9 0 2
5 0 2
6 0 2
16 9 1
0 8 3
0 9 3
4 11 0
12 11 0
10 0 2
16 10 1
16 6 1
0 10 3
2 11 0
12 0 2
0 4 3
13 0 2
0 2 3
14 0 2
3 11 0
10 11 0
0 3 3
7 0 2
8 11 0
13 11 0
4 0 2
11 11 0
16 5 1
3 0 2
1 0 2
0 6 3
6 11 0
9 11 0
16 1 1
16 4 1
4 2 3
2 8 0
9 8 0
10 4 1
8 5 3
5 10 0
3 2 1
11 10 0
8 4 1
9 5 0
4 3 2
12 5 1
9 9 2
9 4 3
2 9 2
12 4 2
15 6 0
7 2 2
1 5 1
13 7 0
3 5 1
12 3 2
9 6 2
11 4 3
2 5 3
7 5 1
9 1 0
13 2 0
9 2 2
6 1 3
4 5 3
5 1 1
12 2 0
13 5 3
13 3 2
1 4 2
1 3 0
15 7 2
7 1 0
13 8 2
5 5 1
10 8 3
6 5 3
3 1 3
6 6 2
3 9 0
3 10 2
9 7 2
12 6 2
4 8 1
14 8 2
2 1 1
2 4 3
10 9 2
5 4 0
11 8 3
1 2 3
6 8 1
7 8 3
11 5 1
3 6 2
5 8 3
3 8 3
14 1 3
11 9 0
14 7 0
13 1 1
15 5 1
1 9 2
15 9 3
4 10 0
13 9 0
8 2 2
6 10 3
15 10 2
7 6 2
14 9 1
1 8 0
2 3 0
15 4 0
10 6 0
8 1 0
8 6 2
13 10 2
12 10 0
10 7 2
2 2 0
10 3 0
12 7 1
1 6 2
1 1 2
4 7 3
13 4 2
5 6 1
7 4 1
7 10 3
4 4 3
15 3 0
3 3 2
5 9 1
3 4 1
6 9 3
1 7 3
11 2 2
2 10 2
6 4 0
11 1 0
4 9 3
4 1 1
3 7 1
14 10 2
13 6 0
10 5 3
10 1 2
8 7 1
11 6 2
12 1 1
11 7 1
8 3 0
5 3 2
5 2 0
12 8 3
15 1 2
15 2 0
10 10 0
1 10 0
8 9 1
10 2 2
12 9 1
4 6 0
11 3 2
9 10 3
7 9 1
6 3 0
8 10 1
6 2 1
2 7 0
6 7 0
14 3 3
14 4 1
7 3 0
14 6 3
7 7 0
2 6 1
15 8 1
14 2 3
14 5 2
8 8 1
9 3 3
5 7 0
