19 16
18 15 0
0 15 3
0 0 2
18 0 1
0 6 3
2 15 0
7 15 0
3 15 0
18 10 1
13 15 0
0 4 3
5 15 0
9 0 2
9 15 0
11 15 0
16 15 0
0 8 3
0 12 3
3 0 2
18 5 1
18 8 1
4 15 0
18 11 1
10 15 0
18 6 1
18 12 1
18 14 1
18 9 1
0 11 3
12 15 0
15 0 2
2 0 2
0 14 3
10 0 2
17 0 2
17 15 0
18 1 1
14 0 2
1 15 0
8 0 2
18 7 1
15 15 0
6 0 2
14 15 0
8 15 0
6 15 0
18 3 1
0 13 3
18 13 1
0 3 3
0 9 3
18 4 1
0 7 3
4 0 2
7 0 2
0 2 3
12 0 2
0 1 3
1 0 2
16 0 2
0 5 3
13 0 2
5 0 2
0 10 3
11 0 2
18 2 1
10 3 3
16 3 1
10 12 0
8 7 1
15 1 1
8 4 2
9 3 1
6 13 1
9 6 1
11 13 0
16 8 0
15 14 0
8 5 3
12 14 0
7 5 1
10 6 3
11 2 1
9 7 3
1 12 3
6 2 0
5 14 3
17 3 3
5 2 0
5 8 3
7 13 3
1 6 3
12 2 3
4 8 1
10 13 2
5 13 1
16 7 0
16 1 3
11 14 2
4 10 3
10 4 2
6 3 2
15 3 2
8 3 0
5 3 2
16 2 0
3 10 1
2 2 1
3 2 3
16 9 2
15 2 0
4 14 1
11 6 0
3 1 1
4 1 3
3 4 1
4 2 2
11 12 3
3 5 3
12 6 3
7 12 1
1 9 0
3 12 3
8 13 3
2 5 1
8 6 0
3 6 0
7 11 1
7 1 2
7 2 2
10 11 0
3 7 2
11 7 2
8 11 3
7 14 0
6 1 2
6 7 0
17 9 3
10 7 3
2 4 1
4 4 3
1 10 2
2 14 0
8 12 3
1 11 2
6 8 2
2 12 1
10 5 3
12 1 1
2 1 2
6 5 0
13 14 0
10 1 2
15 8 3
6 6 2
15 10 1
17 5 1
9 5 1
13 10 3
13 1 3
11 9 2
7 9 1
11 3 3
7 4 1
12 10 1
16 10 3
11 8 0
9 2 0
6 14 1
3 14 0
17 10 1
14 8 1
8 9 3
1 14 3
14 14 0
2 11 3
3 3 0
6 4 2
15 7 1
9 9 2
15 5 2
3 11 1
1 7 0
15 13 3
4 12 3
17 14 3
8 2 1
5 11 3
11 11 0
13 7 1
4 11 3
7 7 1
12 7 2
4 9 0
11 5 1
2 9 3
9 8 0
14 13 1
14 7 3
12 5 3
15 6 0
15 4 0
5 7 1
1 8 2
16 14 1
6 12 0
1 2 3
12 11 0
13 13 3
12 12 2
7 8 3
1 1 1
4 7 3
12 3 1
12 13 3
13 11 3
14 5 1
13 3 3
14 1 1
13 4 0
8 14 0
17 8 1
11 10 1
2 7 3
10 10 0
16 5 1
9 11 3
3 13 2
14 6 0
13 5 2
2 13 0
17 1 2
15 9 3
9 10 0
14 12 2
5 12 3
14 9 1
14 2 2
8 8 3
9 4 2
5 5 1
3 8 3
17 11 1
2 8 1
7 6 1
11 1 1
14 11 0
4 3 2
6 11 0
4 13 2
17 13 0
9 1 1
16 11 1
10 14 0
2 6 0
4 5 3
14 3 2
16 12 1
17 6 1
7 3 3
4 6 3
17 12 3
14 10 3
8 1 0
16 6 0
10 8 1
1 13 3
7 10 2
5 6 3
5 4 2
15 11 1
11 4 1
9 13 0
9 14 2
1 4 3
13 6 0
17 4 0
12 4 3
2 10 0
9 12 1
13 2 2
10 9 1
12 8 2
5 9 2
13 12 1
13 9 1
6 9 2
2 3 1
17 2 0
1 5 3
15 12 3
12 9 0
10 2 1
5 1 1
13 8 0
14 4 0
3 9 3
17 7 3
16 13 1
5 10 3
6 10 0
1 3 3
8 10 0
16 4 1
