17 16
16 0 1
0 15 3
16 15 0
0 0 2
2 15 0
0 7 3
16 9 1
16 4 1
0 1 3
16 1 1
16 10 1
0 3 3
3 15 0
16 8 1
0 14 3
16 2 1
3 0 2
16 11 1
1 0 2
16 13 1
5 0 2
16 5 1
11 15 0
9 0 2
12 15 0
0 10 3
1 15 0
9 15 0
16 7 1
14 0 2
11 0 2
0 6 3
15 15 0
16 14 1
16 12 1
13 0 2
0 8 3
8 15 0
15 0 2
13 15 0
7 0 2
0 12 3
0 5 3
12 0 2
6 0 2
7 15 0
0 2 3
0 13 3
5 15 0
2 0 2
8 0 2
4 15 0
0 11 3
0 9 3
10 15 0
0 4 3
14 15 0
6 15 0
16 3 1
16 6 1
10 0 2
4 0 2
2 12 1
13 4 0
11 8 1
11 2 3
11 3 0
14 1 2
5 5 1
2 2 3
2 3 1
5 8 1
12 13 2
7 13 3
5 7 2
3 9 1
12 8 3
3 12 3
14 9 1
5 12 0
1 2 1
6 8 1
2 11 0
15 9 3
8 11 3
7 11 1
6 5 3
3 3 3
5 6 0
12 14 3
11 4 2
14 4 3
6 13 1
2 14 0
13 5 2
11 14 1
8 13 3
7 8 3
3 8 2
12 12 0
10 2 1
7 1 2
4 9 3
5 13 2
3 7 0
3 2 0
1 11 2
4 2 3
4 14 0
6 7 1
8 4 2
13 1 3
7 7 3
10 13 1
4 6 0
9 10 3
2 10 0
6 2 2
1 7 1
6 11 1
11 7 0
3 1 2
12 1 1
9 3 0
13 7 2
8 10 1
9 4 2
1 10 0
13 8 0
11 13 3
2 7 3
9 6 1
10 6 3
9 5 3
13 14 3
6 14 2
8 3 0
8 5 1
6 1 0
4 7 2
13 6 0
13 9 2
6 6 0
7 6 2
1 4 0
7 5 0
8 8 3
5 2 2
9 13 3
10 14 1
5 4 0
4 11 2
1 5 2
7 4 1
8 2 1
12 3 3
2 13 3
9 8 2
14 13 3
4 10 0
5 1 0
9 7 0
10 9 1
15 11 1
10 10 3
5 3 2
10 8 1
5 14 3
13 13 1
9 2 3
11 9 3
4 3 2
1 13 1
12 11 1
10 12 0
2 6 1
9 14 1
10 5 0
12 7 2
14 12 1
1 1 2
7 10 3
13 2 2
15 12 3
12 10 0
6 3 2
7 14 3
8 9 3
13 11 3
3 6 3
14 14 3
6 10 1
12 6 0
11 1 2
7 9 1
3 10 3
7 3 1
1 6 3
3 11 2
15 5 0
15 6 2
1 12 1
14 7 0
4 12 2
11 11 2
12 5 2
10 11 0
11 10 0
3 13 3
12 4 0
11 12 3
1 3 0
14 8 2
12 2 3
15 10 3
9 11 2
2 4 3
14 10 1
5 11 1
2 9 1
7 2 2
1 14 2
12 9 2
15 14 0
6 4 0
15 1 3
13 12 1
14 11 2
7 12 2
2 5 0
3 5 1
14 5 3
4 5 3
9 9 3
1 9 3
15 13 1
8 7 3
14 3 0
1 8 1
13 10 1
6 12 3
9 12 0
2 8 3
15 4 0
8 6 3
10 3 1
15 7 2
5 9 1
8 12 2
6 9 3
11 5 3
4 13 0
13 3 2
10 4 3
3 4 1
15 3 2
4 4 3
4 8 3
8 1 0
15 8 0
15 2 0
14 2 3
14 6 1
9 1 0
2 1 1
4 1 3
3 14 2
8 14 0
11 6 3
10 7 1
5 10 3
10 1 1
