19 12
0 0 2
18 11 0
0 11 3
18 0 1
15 0 2
12 11 0
0 3 3
9 0 2
18 4 1
0 4 3
7 0 2
13 0 2
0 9 3
0 10 3
3 11 0
4 11 0
0 2 3
0 7 3
6 11 0
18 9 1
8 11 0
3 0 2
2 11 0
17 11 0
6 0 2
1 11 0
13 11 0
0 6 3
18 3 1
14 11 0
16 0 2
14 0 2
7 11 0
18 7 1
18 10 1
9 11 0
17 0 2
18 8 1
1 0 2
10 11 0
18 5 1
8 0 2
10 0 2
5 0 2
18 1 1
11 0 2
15 11 0
18 6 1
0 1 3
16 11 0
0 8 3
0 5 3
4 0 2
12 0 2
2 0 2
11 11 0
18 2 1
5 11 0
9 9 0
5 3 2
16 8 2
15 8 0
16 4 3
15 9 2
13 4 2
11 9 0
15 4 1
2 6 3
16 10 3
16 7 0
9 3 3
9 10 2
6 1 3
11 10 2
10 10 0
5 6 3
3 5 3
2 4 3
5 1 1
9 8 0
2 5 1
4 6 1
4 10 0
1 6 1
4 3 1
7 3 0
7 4 2
6 4 0
8 3 1
5 2 0
6 5 2
13 3 0
1 4 1
15 10 1
10 9 3
3 7 0
5 4 2
8 7 2
6 6 2
4 7 2
4 9 0
9 7 2
14 4 2
8 6 0
5 9 0
14 2 0
6 2 0
16 5 2
2 2 3
6 3 2
10 1 1
7 5 3
5 10 2
8 4 3
6 8 3
14 3 0
15 5 3
3 4 3
3 8 2
5 8 1
9 6 0
16 3 0
14 9 1
1 2 1
8 5 3
14 5 1
11 1 3
3 6 0
4 1 0
4 4 1
17 3 1
4 8 0
12 9 1
7 7 3
7 8 0
15 1 2
16 1 1
7 9 2
12 4 1
3 3 1
10 3 3
17 1 3
4 2 2
12 6 3
17 2 0
11 6 1
6 7 1
7 6 3
13 9 3
8 9 3
12 10 3
11 7 1
8 8 1
14 10 1
17 4 3
15 2 3
6 9 3
12 8 0
2 7 2
15 3 0
12 7 3
2 1 0
13 7 1
8 10 2
13 2 0
17 7 3
14 7 3
2 9 0
7 2 3
6 10 0
16 9 3
1 3 2
2 3 2
12 3 3
17 5 1
10 4 1
10 5 1
17 8 3
9 4 2
10 2 0
13 6 3
5 5 2
11 3 1
11 4 3
11 5 3
1 7 3
15 7 1
2 10 2
3 9 2
12 5 0
14 1 1
7 10 2
5 7 2
14 6 2
17 9 1
3 2 2
16 2 2
15 6 1
16 6 3
9 2 1
10 7 1
17 6 0
3 1 0
8 1 2
13 5 3
9 5 1
17 10 2
1 8 3
1 9 1
4 5 0
10 8 3
13 8 0
2 8 3
1 5 3
9 1 2
12 1 1
11 8 2
8 2 3
13 1 3
12 2 2
7 1 0
1 1 1
10 6 2
3 10 3
11 2 3
14 8 1
1 10 3
13 10 3
